dog,dogs
dog breeder,dog breeders
bone,bones
kibble,kibble
frisbee,frisbees
ball,balls
poop,poops
dog bowl,dog bowls,
water bowl,water bowls,
food,food
cookie,cookies
pizza,pizzas
puppers,puppers
doggo,doggos
dinner,dinners
breakfast,breakfasts
puppy,puppies
cat,cats
paw,paws
nap,naps
chewtoy,chewtoys
fire hydrant,fire hyrdrants
belly rub,belly rubs
mail man,mail men
car,cars
toy,toys
lovin,lovin
rub,rubs
whisker,whiskers
snack,snacks
smell,smells
turkey,turkeys
squirrel,squirrels
play,play
treat,treats
human,humans
butt,butts
